detector,scenario,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Cosine,normal,0.15937399864196777,0.04449725151062012,0,15,0,0
Cosine,anomalous,0.15937399864196777,0.055747032165527344,2,0,0,13
Jaccard,normal,0.18650174140930176,0.04854011535644531,0,10,5,0
Jaccard,anomalous,0.18650174140930176,0.04820895195007324,1,0,0,14
Hamming,normal,0.16732478141784668,0.0451200008392334,0,14,1,0
Hamming,anomalous,0.16732478141784668,0.04658985137939453,10,0,0,5
KL,normal,0.16468286514282227,0.04202008247375488,0,10,5,0
KL,anomalous,0.16468286514282227,0.04833102226257324,14,0,0,1
Jeffreys,normal,0.19952726364135742,0.053513288497924805,0,14,1,0
Jeffreys,anomalous,0.19952726364135742,0.043179988861083984,15,0,0,0
JS,normal,0.16347980499267578,0.0430140495300293,0,14,1,0
JS,anomalous,0.16347980499267578,0.044610023498535156,15,0,0,0
Euclidean,normal,0.18215203285217285,0.045851945877075195,0,14,1,0
Euclidean,anomalous,0.18215203285217285,0.04624176025390625,15,0,0,0
Cityblock,normal,0.15717029571533203,0.041197776794433594,0,14,1,0
Cityblock,anomalous,0.15717029571533203,0.043179988861083984,15,0,0,0
Chebyshev,normal,0.16289734840393066,0.042572975158691406,0,14,1,0
Chebyshev,anomalous,0.16289734840393066,0.04398012161254883,6,0,0,9
Minkowski,normal,0.16095495223999023,0.04482102394104004,0,14,1,0
Minkowski,anomalous,0.16095495223999023,0.047621965408325195,12,0,0,3
Braycurtis,normal,0.17257404327392578,0.04483294486999512,0,14,1,0
Braycurtis,anomalous,0.17257404327392578,0.04698491096496582,15,0,0,0
Kulczynski,normal,0.16324305534362793,0.0418858528137207,0,14,1,0
Kulczynski,anomalous,0.16324305534362793,0.04280424118041992,15,0,0,0
Canberra,normal,0.17025470733642578,0.04703688621520996,0,14,1,0
Canberra,anomalous,0.17025470733642578,0.04805803298950195,15,0,0,0
Bhattacharyya,normal,0.16997003555297852,0.04439711570739746,0,14,1,0
Bhattacharyya,anomalous,0.16997003555297852,0.04648399353027344,15,0,0,0
Squared,normal,0.17636990547180176,0.04656720161437988,0,14,1,0
Squared,anomalous,0.17636990547180176,0.04944610595703125,15,0,0,0
Divergence,normal,0.16562199592590332,0.04140806198120117,0,15,0,0
Divergence,anomalous,0.16562199592590332,0.0433957576751709,15,0,0,0
Additivesymmetric,normal,0.1780681610107422,0.04193305969238281,0,15,0,0
Additivesymmetric,anomalous,0.1780681610107422,0.04303789138793945,2,0,0,13
