detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,30,170,5,testing,0.013585805892944336,0.006568431854248047,0.0,0.0,0.007013082504272461,0.02736377716064453,3,0,0,0
Cosine,30,170,5,testing,0.014744043350219727,0.007002115249633789,0.0009999275207519531,0.0010001659393310547,0.007001399993896484,0.00801396369934082,2,0,0,1
Jaccard,30,170,5,testing,0.014549493789672852,0.006993532180786133,0.0005559921264648438,0.0,0.02201104164123535,0.017405986785888672,2,0,0,1
Dice,30,170,5,testing,0.007573127746582031,0.0015680789947509766,0.0,0.0,0.0,0.03126859664916992,2,0,0,1
KL,30,170,5,testing,0.015622138977050781,0.015622138977050781,0.0,0.0,0.015625476837158203,0.015628337860107422,3,0,0,0
Jeffreys,30,170,5,testing,0.01562786102294922,0.0,0.0,0.0,0.0,0.015624761581420898,3,0,0,0
JS,30,170,5,testing,0.015871286392211914,0.015871286392211914,0.0,0.0,0.0,0.0313260555267334,3,0,0,0
Euclidean,30,170,5,testing,0.015629291534423828,0.0,0.0,0.015629291534423828,0.0,0.03125333786010742,2,0,0,1
Cityblock,30,170,5,testing,0.0156252384185791,0.0,0.0,0.0,0.01562643051147461,0.0,3,0,0,0
Chebyshev,30,170,5,testing,0.015626192092895508,0.015626192092895508,0.0,0.0,0.0,0.03125166893005371,2,0,0,1
Minkowski,30,170,5,testing,0.015891313552856445,0.0,0.015891313552856445,0.0,0.0,0.03129982948303223,2,0,0,1
Braycurtis,30,170,5,testing,0.03099846839904785,0.008009910583496094,0.0016751289367675781,0.0010068416595458984,0.0029740333557128906,0.019487619400024414,3,0,0,0
Gower,30,170,5,testing,0.015522003173828125,0.0,0.0,0.0,0.0,0.0027549266815185547,3,0,0,0
Soergel,30,170,5,testing,0.014750480651855469,0.0,0.013736248016357422,0.0010142326354980469,0.019069433212280273,0.0,3,0,0,0
Kulczynski,30,170,5,testing,0.019010543823242188,0.007003068923950195,0.0010001659393310547,0.0010001659393310547,0.01535487174987793,0.0,3,0,0,0
Canberra,30,170,5,testing,0.0156252384185791,0.0156252384185791,0.0,0.0,0.0,0.03125405311584473,3,0,0,0
Lorentzian,30,170,5,testing,0.015614509582519531,0.0,0.0,0.015614509582519531,0.01562666893005371,0.0,0,0,0,3
Bhattacharyya,30,170,5,testing,0.015626907348632812,0.0,0.0,0.0,0.0,0.015626907348632812,3,0,0,0
Hellinger,30,170,5,testing,0.015621185302734375,0.015621185302734375,0.0,0.0,0.0,0.03125166893005371,3,0,0,0
Matusita,30,170,5,testing,0.01563882827758789,0.0,0.0,0.0,0.015625715255737305,0.0,3,0,0,0
Squaredchord,30,170,5,testing,0.015628576278686523,0.015628576278686523,0.0,0.0,0.005393028259277344,0.023892641067504883,3,0,0,0
Pearson,30,170,5,testing,0.015641212463378906,0.015641212463378906,0.0,0.0,0.0,0.031249046325683594,3,0,0,0
Neyman,30,170,5,testing,0.018166542053222656,0.0,0.0,0.0,0.015626907348632812,0.0,3,0,0,0
Squared,30,170,5,testing,0.015626192092895508,0.015626192092895508,0.0,0.0,0.0,0.03125262260437012,3,0,0,0
Probsymmetric,30,170,5,testing,0.015623807907104492,0.0,0.0,0.0,0.01562809944152832,0.0,3,0,0,0
Divergence,30,170,5,testing,0.0156252384185791,0.0156252384185791,0.0,0.0,0.0,0.015624761581420898,3,0,0,0
Clark,30,170,5,testing,0.015621185302734375,0.0,0.015621185302734375,0.0,0.0,0.03125166893005371,3,0,0,0
Additivesymmetric,30,170,5,testing,0.015626907348632812,0.0,0.0,0.0,0.015416622161865234,0.0,2,0,0,1
